 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\f_in_cf4_30torr.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
449.999 eV    1.103E-03  1.252E-02   32.05 um    19.40 um    14.00 um  
499.999 eV    1.163E-03  1.292E-02   34.24 um    20.54 um    14.84 um  
549.999 eV    1.219E-03  1.328E-02   36.38 um    21.64 um    15.65 um  
599.999 eV    1.274E-03  1.360E-02   38.48 um    22.71 um    16.44 um  
649.999 eV    1.326E-03  1.390E-02   40.53 um    23.76 um    17.21 um  
699.999 eV    1.376E-03  1.417E-02   42.55 um    24.78 um    17.96 um  
799.999 eV    1.471E-03  1.465E-02   46.51 um    26.74 um    19.41 um  
899.999 eV    1.560E-03  1.507E-02   50.36 um    28.64 um    20.81 um  
999.999 eV    1.644E-03  1.543E-02   54.14 um    30.49 um    22.17 um  
   1.10 keV   1.725E-03  1.575E-02   57.84 um    32.29 um    23.49 um  
   1.20 keV   1.801E-03  1.604E-02   61.49 um    34.05 um    24.77 um  
   1.30 keV   1.875E-03  1.629E-02   65.08 um    35.78 um    26.03 um  
   1.40 keV   1.946E-03  1.652E-02   68.64 um    37.47 um    27.26 um  
   1.50 keV   2.014E-03  1.672E-02   72.15 um    39.13 um    28.47 um  
   1.60 keV   2.080E-03  1.691E-02   75.63 um    40.77 um    29.66 um  
   1.70 keV   2.144E-03  1.708E-02   79.08 um    42.39 um    30.83 um  
   1.80 keV   2.206E-03  1.723E-02   82.50 um    43.99 um    31.99 um  
   2.00 keV   2.325E-03  1.750E-02   89.28 um    47.11 um    34.26 um  
   2.25 keV   2.466E-03  1.777E-02   97.65 um    50.93 um    37.03 um  
   2.50 keV   2.600E-03  1.799E-02  105.92 um    54.68 um    39.72 um  
   2.75 keV   2.727E-03  1.817E-02  114.12 um    58.37 um    42.36 um  
   3.00 keV   2.848E-03  1.832E-02  122.25 um    62.00 um    44.94 um  
   3.25 keV   2.964E-03  1.844E-02  130.33 um    65.58 um    47.48 um  
