 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\f_in_cf4 (gas).txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  3.0000E-04 g/cm3 = 1.0264E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
449.999 eV    2.102E-03  2.424E-02   16.57 um    10.04 um     7.24 um  
499.999 eV    2.215E-03  2.501E-02   17.70 um    10.62 um     7.68 um  
549.999 eV    2.323E-03  2.570E-02   18.81 um    11.19 um     8.10 um  
599.999 eV    2.427E-03  2.633E-02   19.89 um    11.75 um     8.50 um  
649.999 eV    2.526E-03  2.690E-02   20.96 um    12.29 um     8.90 um  
699.999 eV    2.621E-03  2.743E-02   22.00 um    12.82 um     9.29 um  
799.999 eV    2.802E-03  2.836E-02   24.05 um    13.83 um    10.04 um  
899.999 eV    2.972E-03  2.917E-02   26.04 um    14.82 um    10.77 um  
999.999 eV    3.133E-03  2.987E-02   27.99 um    15.78 um    11.47 um  
   1.10 keV   3.286E-03  3.049E-02   29.91 um    16.71 um    12.15 um  
   1.20 keV   3.432E-03  3.104E-02   31.80 um    17.62 um    12.82 um  
   1.30 keV   3.572E-03  3.153E-02   33.66 um    18.51 um    13.47 um  
   1.40 keV   3.707E-03  3.197E-02   35.49 um    19.39 um    14.10 um  
   1.50 keV   3.837E-03  3.237E-02   37.31 um    20.25 um    14.73 um  
   1.60 keV   3.963E-03  3.273E-02   39.11 um    21.10 um    15.35 um  
   1.70 keV   4.085E-03  3.306E-02   40.90 um    21.93 um    15.95 um  
