 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3.0000E-04 g/cm3 = 1.0264E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -4.14%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
449.999 eV    2.475E-03  1.581E-02   19.19 um    13.32 um     9.62 um  
499.999 eV    2.608E-03  1.620E-02   20.65 um    14.19 um    10.26 um  
549.999 eV    2.736E-03  1.654E-02   22.09 um    15.04 um    10.87 um  
599.999 eV    2.857E-03  1.684E-02   23.50 um    15.87 um    11.48 um  
649.999 eV    2.974E-03  1.711E-02   24.89 um    16.68 um    12.07 um  
699.999 eV    3.086E-03  1.735E-02   26.27 um    17.48 um    12.65 um  
799.999 eV    3.299E-03  1.777E-02   28.98 um    19.02 um    13.79 um  
899.999 eV    3.499E-03  1.812E-02   31.64 um    20.53 um    14.88 um  
999.999 eV    3.689E-03  1.840E-02   34.27 um    22.01 um    15.95 um  
   1.10 keV   3.869E-03  1.864E-02   36.87 um    23.45 um    16.99 um  
   1.20 keV   4.041E-03  1.885E-02   39.44 um    24.87 um    18.01 um  
   1.30 keV   4.206E-03  1.902E-02   41.99 um    26.27 um    19.01 um  
   1.40 keV   4.365E-03  1.917E-02   44.52 um    27.65 um    20.00 um  
   1.50 keV   4.518E-03  1.929E-02   47.04 um    29.00 um    20.97 um  
   1.60 keV   4.666E-03  1.940E-02   49.54 um    30.34 um    21.92 um  
   1.70 keV   4.810E-03  1.949E-02   52.04 um    31.67 um    22.87 um  
   1.80 keV   4.949E-03  1.956E-02   54.52 um    32.98 um    23.80 um  
   2.00 keV   5.217E-03  1.967E-02   59.47 um    35.55 um    25.65 um  
   2.25 keV   5.533E-03  1.976E-02   65.63 um    38.71 um    27.92 um  
   2.50 keV   5.832E-03  1.980E-02   71.75 um    41.83 um    30.13 um  
   2.75 keV   6.117E-03  1.981E-02   77.86 um    44.90 um    32.30 um  
   3.00 keV   6.389E-03  1.979E-02   83.96 um    47.93 um    34.44 um  
   3.25 keV   6.650E-03  1.975E-02   90.06 um    50.92 um    36.55 um  
   3.50 keV   6.901E-03  1.969E-02   96.15 um    53.88 um    38.64 um  
   3.75 keV   7.143E-03  1.962E-02  102.24 um    56.80 um    40.70 um  
   4.00 keV   7.378E-03  1.954E-02  108.33 um    59.70 um    42.75 um  
   4.50 keV   7.825E-03  1.935E-02  120.55 um    65.39 um    46.81 um  
   5.00 keV   8.248E-03  1.914E-02  132.79 um    70.99 um    50.80 um  
   5.50 keV   8.651E-03  1.892E-02  145.07 um    76.52 um    54.75 um  
   6.00 keV   9.036E-03  1.870E-02  157.38 um    81.97 um    58.64 um  
   6.50 keV   9.405E-03  1.847E-02  169.73 um    87.34 um    62.51 um  
   7.00 keV   9.760E-03  1.823E-02  182.13 um    92.65 um    66.34 um  
   8.00 keV   1.043E-02  1.777E-02  207.04 um   103.02 um    73.95 um  
   9.00 keV   1.107E-02  1.733E-02  232.10 um   113.17 um    81.46 um  
  10.00 keV   1.167E-02  1.690E-02  257.29 um   123.09 um    88.89 um  
  11.00 keV   1.223E-02  1.648E-02  282.59 um   132.81 um    96.24 um  
  12.00 keV   1.278E-02  1.609E-02  307.99 um   142.31 um   103.52 um  
  13.00 keV   1.330E-02  1.571E-02  333.48 um   151.62 um   110.75 um  
  14.00 keV   1.380E-02  1.536E-02  359.04 um   160.73 um   117.91 um  
  15.00 keV   1.429E-02  1.502E-02  384.66 um   169.66 um   125.02 um  
  16.00 keV   1.476E-02  1.469E-02  410.33 um   178.41 um   132.07 um  
  17.00 keV   1.521E-02  1.439E-02  436.04 um   186.98 um   139.06 um  
  18.00 keV   1.565E-02  1.409E-02  461.77 um   195.39 um   146.00 um  
  20.00 keV   1.650E-02  1.355E-02  513.32 um   211.71 um   159.74 um  
  22.50 keV   1.750E-02  1.293E-02  577.77 um   231.26 um   176.60 um  
  25.00 keV   1.815E-02  1.237E-02  642.45 um   250.13 um   193.09 um  
  27.50 keV   1.858E-02  1.187E-02  707.81 um   268.58 um   209.27 um  
  30.00 keV   1.921E-02  1.141E-02  773.66 um   286.57 um   225.22 um  
  32.50 keV   1.994E-02  1.099E-02  839.51 um   303.91 um   240.96 um  
  35.00 keV   2.070E-02  1.061E-02  905.08 um   320.55 um   256.47 um  
  37.50 keV   2.146E-02  1.026E-02  970.26 um   336.52 um   271.73 um  
  40.00 keV   2.220E-02  9.933E-03    1.03 mm   351.85 um   286.71 um  
  45.00 keV   2.355E-02  9.350E-03    1.16 mm   380.88 um   315.86 um  
  50.00 keV   2.473E-02  8.841E-03    1.29 mm   407.98 um   343.85 um  
  55.00 keV   2.574E-02  8.393E-03    1.42 mm   433.49 um   370.79 um  
  60.00 keV   2.660E-02  7.996E-03    1.54 mm   457.67 um   396.78 um  
  65.00 keV   2.735E-02  7.640E-03    1.66 mm   480.72 um   421.92 um  
  70.00 keV   2.799E-02  7.319E-03    1.79 mm   502.79 um   446.30 um  
  80.00 keV   2.908E-02  6.762E-03    2.04 mm   544.77 um   493.19 um  
  90.00 keV   2.998E-02  6.296E-03    2.28 mm   583.93 um   537.87 um  
 100.00 keV   3.077E-02  5.898E-03    2.53 mm   620.72 um   580.69 um  
 110.00 keV   3.151E-02  5.553E-03    2.77 mm   655.42 um   621.88 um  
 120.00 keV   3.223E-02  5.252E-03    3.01 mm   688.25 um   661.59 um  
 130.00 keV   3.294E-02  4.986E-03    3.26 mm   719.34 um   699.94 um  
 140.00 keV   3.366E-02  4.749E-03    3.50 mm   748.83 um   737.01 um  
 150.00 keV   3.440E-02  4.537E-03    3.73 mm   776.81 um   772.85 um  
 160.00 keV   3.517E-02  4.345E-03    3.97 mm   803.37 um   807.50 um  
 170.00 keV   3.596E-02  4.170E-03    4.20 mm   828.57 um   841.00 um  
 180.00 keV   3.678E-02  4.011E-03    4.43 mm   852.48 um   873.38 um  
 200.00 keV   3.851E-02  3.731E-03    4.88 mm   897.59 um   934.90 um  
