 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 05, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\c_in_cf4_30torr.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.5500E-04 g/cm3 = 5.3033E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
449.999 eV    1.299E-03  8.169E-03   37.11 um    25.73 um    18.59 um  
499.999 eV    1.369E-03  8.369E-03   39.93 um    27.41 um    19.82 um  
549.999 eV    1.436E-03  8.544E-03   42.70 um    29.05 um    21.01 um  
599.999 eV    1.500E-03  8.701E-03   45.43 um    30.66 um    22.18 um  
649.999 eV    1.561E-03  8.840E-03   48.12 um    32.23 um    23.32 um  
699.999 eV    1.620E-03  8.966E-03   50.78 um    33.77 um    24.44 um  
799.999 eV    1.732E-03  9.182E-03   56.02 um    36.74 um    26.63 um  
899.999 eV    1.837E-03  9.360E-03   61.17 um    39.66 um    28.75 um  
999.999 eV    1.936E-03  9.508E-03   66.25 um    42.50 um    30.81 um  
   1.10 keV   2.030E-03  9.633E-03   71.26 um    45.29 um    32.82 um  
   1.20 keV   2.121E-03  9.738E-03   76.23 um    48.03 um    34.78 um  
   1.30 keV   2.207E-03  9.828E-03   81.16 um    50.72 um    36.72 um  
   1.40 keV   2.291E-03  9.903E-03   86.05 um    53.38 um    38.62 um  
   1.50 keV   2.371E-03  9.967E-03   90.91 um    56.00 um    40.49 um  
   1.60 keV   2.449E-03  1.002E-02   95.75 um    58.58 um    42.34 um  
   1.70 keV   2.524E-03  1.007E-02  100.57 um    61.14 um    44.16 um  
   1.80 keV   2.597E-03  1.011E-02  105.36 um    63.67 um    45.97 um  
   2.00 keV   2.738E-03  1.016E-02  114.92 um    68.63 um    49.54 um  
   2.25 keV   2.904E-03  1.021E-02  126.80 um    74.72 um    53.90 um  
   2.50 keV   3.061E-03  1.023E-02  138.63 um    80.72 um    58.16 um  
   2.75 keV   3.210E-03  1.023E-02  150.42 um    86.63 um    62.35 um  
   3.00 keV   3.353E-03  1.022E-02  162.19 um    92.47 um    66.48 um  
