====== 30torr_50keV                             =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
====== TRIM Calc.=  F(50 keV) ==> 3Carbon Tetrafluoride (I(  5 mm) ===========
------------------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  F   Energy = 50 keV
============= TARGET MATERIAL ======================================
Layer  1 : 3Carbon Tetrafluoride (ICRU-370)
Layer Width =     5.E+07 AAA ;
  Layer # 1- Density = 5.303E19 atoms/cm3 = .0001 g/cm3
  Layer # 1-  C = 20   Atomic Percent = 13.6 Mass Percent
  Layer # 1-  F = 80   Atomic Percent = 86.3 Mass Percent
====================================================================
 Total Ions calculated =1000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500000.E+00  341293.E-10  329806.E-09
100000.E+01  331713.E-10  476065.E-09
150000.E+01  366009.E-10  648915.E-09
200000.E+01  344965.E-10  738691.E-09
250000.E+01  374708.E-10  774787.E-09
300000.E+01  354225.E-10  783050.E-09
350000.E+01  360465.E-10  835976.E-09
400000.E+01  404331.E-10  855106.E-09
450000.E+01  398881.E-10  891722.E-09
500000.E+01  410928.E-10  879653.E-09
550000.E+01  419078.E-10  930952.E-09
600000.E+01  427667.E-10  942270.E-09
650000.E+01  422167.E-10  103484.E-08
700000.E+01  446666.E-10  102234.E-08
750000.E+01  518558.E-10  110202.E-08
800000.E+01  490276.E-10  109742.E-08
850000.E+01  459882.E-10  112167.E-08
900000.E+01  515659.E-10  114781.E-08
950000.E+01  514844.E-10  109618.E-08
100000.E+02  508395.E-10  110557.E-08
105000.E+02  511699.E-10  122379.E-08
110000.E+02  520703.E-10  120645.E-08
115000.E+02  491540.E-10  120265.E-08
120000.E+02  550984.E-10  117834.E-08
125000.E+02  521715.E-10  111226.E-08
130000.E+02  541133.E-10  111691.E-08
135000.E+02  517622.E-10  112199.E-08
140000.E+02  509611.E-10  106462.E-08
145000.E+02  533501.E-10  106189.E-08
150000.E+02  538030.E-10  112954.E-08
155000.E+02  509696.E-10  102261.E-08
160000.E+02  457399.E-10  104071.E-08
165000.E+02  461685.E-10  101054.E-08
170000.E+02  502370.E-10  103764.E-08
175000.E+02  470485.E-10  106325.E-08
180000.E+02  441366.E-10  984108.E-09
185000.E+02  446125.E-10  896758.E-09
190000.E+02  420189.E-10  901775.E-09
195000.E+02  388107.E-10  847910.E-09
200000.E+02  376595.E-10  798718.E-09
205000.E+02  349644.E-10  680411.E-09
210000.E+02  313064.E-10  631927.E-09
215000.E+02  264951.E-10  589278.E-09
220000.E+02  273415.E-10  490812.E-09
225000.E+02  244276.E-10  449904.E-09
230000.E+02  223880.E-10  392983.E-09
235000.E+02  202070.E-10  345796.E-09
240000.E+02  174775.E-10  297112.E-09
245000.E+02  154673.E-10  244143.E-09
250000.E+02  152756.E-10  243434.E-09
255000.E+02  127615.E-10  197179.E-09
260000.E+02  966082.E-11  162099.E-09
265000.E+02  673899.E-11  124333.E-09
270000.E+02  730653.E-11  119327.E-09
275000.E+02  672722.E-11  103197.E-09
280000.E+02  710792.E-11  107874.E-09
285000.E+02  368699.E-11  590648.E-10
290000.E+02  300656.E-11  464609.E-10
295000.E+02  253279.E-11  457962.E-10
300000.E+02  286039.E-11  466203.E-10
305000.E+02  214255.E-11  231204.E-10
310000.E+02  855811.E-12  194051.E-10
315000.E+02  727637.E-12  106603.E-10
320000.E+02  639867.E-12  594038.E-11
325000.E+02  538594.E-12  422289.E-11
330000.E+02  186788.E-12  169697.E-11
335000.E+02  000000.E+00  000000.E+00
340000.E+02  000000.E+00  000000.E+00
345000.E+02  000000.E+00  000000.E+00
350000.E+02  000000.E+00  000000.E+00
355000.E+02  000000.E+00  000000.E+00
360000.E+02  000000.E+00  000000.E+00
365000.E+02  000000.E+00  000000.E+00
370000.E+02  000000.E+00  000000.E+00
375000.E+02  000000.E+00  000000.E+00
380000.E+02  000000.E+00  000000.E+00
385000.E+02  000000.E+00  000000.E+00
390000.E+02  000000.E+00  000000.E+00
395000.E+02  000000.E+00  000000.E+00
400000.E+02  000000.E+00  000000.E+00
405000.E+02  000000.E+00  000000.E+00
410000.E+02  000000.E+00  000000.E+00
415000.E+02  000000.E+00  000000.E+00
420000.E+02  000000.E+00  000000.E+00
425000.E+02  000000.E+00  000000.E+00
430000.E+02  000000.E+00  000000.E+00
435000.E+02  000000.E+00  000000.E+00
440000.E+02  000000.E+00  000000.E+00
445000.E+02  000000.E+00  000000.E+00
450000.E+02  000000.E+00  000000.E+00
455000.E+02  000000.E+00  000000.E+00
460000.E+02  000000.E+00  000000.E+00
465000.E+02  000000.E+00  000000.E+00
470000.E+02  000000.E+00  000000.E+00
475000.E+02  000000.E+00  000000.E+00
480000.E+02  000000.E+00  000000.E+00
485000.E+02  000000.E+00  000000.E+00
490000.E+02  000000.E+00  000000.E+00
495000.E+02  000000.E+00  000000.E+00
500000.E+02  000000.E+00  000000.E+00
